run_name,mode,n_samples,baseline,pca_dim,random_proj_dim,recall@1,recall@5,recall@10,recall@50,lift@1,lift@5,lift@10,lift@50,pos_sim_mean,n_pool
noisy_6000_oracle_latent,noisy,6000,oracle_latent,,,1.0,1.0,1.0,1.0,6000.0,1200.0,600.0,120.0,1.0,6000.0
noisy_6000_pca_projected,noisy,6000,pca_projected,32.0,,0.005,0.0228333333333333,0.0375,0.1195,30.0,27.4,22.5,14.34,0.2289346158504486,6000.0
noisy_6000_random,noisy,6000,random,,,0.0,0.0,0.0023333333333333,0.0083333333333333,0.0,0.0,1.4,1.0,0.0009640007046982,6000.0
noisy_6000_random_projection,noisy,6000,random_projection,,32.0,0.0016666666666666,0.0058333333333333,0.0098333333333333,0.035,10.000000000000002,7.0,5.9,4.2,0.1359501183032989,6000.0
noisy_6000_raw_feature,noisy,6000,raw_feature,,,0.0048333333333333,0.016,0.0238333333333333,0.0793333333333333,29.000000000000004,19.2,14.3,9.52,0.1348082274198532,6000.0
shifted_12000_metadata_only,shifted,12000,metadata_only,,,0.0019166666666666,0.0083333333333333,0.014,0.0461666666666666,23.0,20.0,16.8,11.08,0.3283153176307678,12000.0
shifted_12000_oracle_latent,shifted,12000,oracle_latent,,,1.0,1.0,1.0,1.0,12000.0,2400.0,1200.0,240.0,1.0,12000.0
shifted_12000_pca_projected,shifted,12000,pca_projected,32.0,,0.2460833333333333,0.4896666666666666,0.5966666666666667,0.8265833333333333,2953.0,1175.1999999999998,716.0,198.38,0.586173415184021,12000.0
shifted_12000_random,shifted,12000,random,,,0.0001666666666666,0.0005,0.0008333333333333,0.004,2.0,1.2,1.0,0.96,0.0046037551946938,12000.0
shifted_12000_random_projection,shifted,12000,random_projection,,32.0,0.0200833333333333,0.0616666666666666,0.0954166666666666,0.2333333333333333,241.00000000000003,148.0,114.5,56.0,0.4135484993457794,12000.0
shifted_12000_raw_feature,shifted,12000,raw_feature,,,0.1455833333333333,0.3256666666666666,0.4291666666666666,0.6865833333333333,1747.0000000000002,781.5999999999999,514.9999999999999,164.78,0.4238544404506683,12000.0
shifted_18000_metadata_only,shifted,18000,metadata_only,,,0.0008333333333333,0.0058333333333333,0.0107777777777777,0.0365555555555555,15.0,21.0,19.4,13.16,0.342852920293808,18000.0
shifted_18000_oracle_latent,shifted,18000,oracle_latent,,,1.0,1.0,1.0,1.0,18000.0,3600.0,1800.0,360.0,1.0,18000.0
shifted_18000_pca_projected,shifted,18000,pca_projected,32.0,,0.2520555555555555,0.4909444444444444,0.6028888888888889,0.8256111111111111,4536.999999999999,1767.4,1085.2,297.22,0.6004151701927185,18000.0
shifted_18000_random,shifted,18000,random,,,0.0001111111111111,0.0003333333333333,0.0006666666666666,0.003,2.0,1.2,1.2,1.08,-0.0038678613491356,18000.0
shifted_18000_random_projection,shifted,18000,random_projection,,32.0,0.0181666666666666,0.0560555555555555,0.0867777777777777,0.2066666666666666,327.0,201.8,156.2,74.39999999999999,0.4334751963615417,18000.0
shifted_18000_raw_feature,shifted,18000,raw_feature,,,0.1468333333333333,0.3285555555555555,0.4273888888888889,0.679,2643.0,1182.8,769.3,244.44,0.4368757605552673,18000.0
shifted_6000_metadata_only,shifted,6000,metadata_only,,,0.003,0.0158333333333333,0.025,0.0753333333333333,18.0,19.0,15.0,9.04,0.3521074950695038,6000.0
shifted_6000_oracle_latent,shifted,6000,oracle_latent,,,1.0,1.0,1.0,1.0,6000.0,1200.0,600.0,120.0,1.0,6000.0
shifted_6000_pca_projected,shifted,6000,pca_projected,32.0,,0.3355,0.608,0.725,0.9138333333333334,2013.0,729.5999999999999,435.0,109.66,0.6009931564331055,6000.0
shifted_6000_random,shifted,6000,random,,,0.0,0.0,0.0023333333333333,0.0083333333333333,0.0,0.0,1.4,1.0,0.0009640007046982,6000.0
shifted_6000_random_projection,shifted,6000,random_projection,,32.0,0.0348333333333333,0.108,0.1623333333333333,0.3508333333333333,209.0,129.6,97.4,42.1,0.4352351129055023,6000.0
shifted_6000_raw_feature,shifted,6000,raw_feature,,,0.2078333333333333,0.4323333333333333,0.558,0.8193333333333334,1247.0,518.8,334.8,98.32,0.4386101961135864,6000.0
